alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.547,0.956356465578627,87.55727320691452,4.265113978628566e-09,6.408352150425051e-09,2.143238171796485e-09,14.599663940538303,0.7,0.828,0.7,8.0,2.0
0.548,0.9590254820651039,87.74897975075531,3.332288040825637e-09,5.006112903323396e-09,1.6738248624977588e-09,15.038426040863952,0.7,0.828,0.7,8.0,2.0
0.549,0.9617004099993464,87.94125616074027,2.545119618603942e-09,3.823038252070164e-09,1.2779186334662217e-09,15.531403429378363,0.7,0.828,0.7,8.0,2.0
0.55,0.9643812756253283,88.13410519005672,1.8917259123399577e-09,2.841194451114877e-09,9.494685387749192e-10,16.09153449945743,0.7,0.828,0.7,8.0,2.0
0.551,0.9670681053621774,88.32752961079376,1.360085092489309e-09,2.042448369005884e-09,6.823632765165752e-10,16.73666551306045,0.7,0.828,0.7,8.0,2.0
0.552,0.9697609258057391,88.52153221362258,9.380347572076112e-10,1.4084653239890914e-09,4.704305667814802e-10,17.492279987252132,0.7,0.828,0.7,8.0,2.0
0.553,0.972459763730155,88.71611580899547,6.132703674163304e-10,9.207068878651641e-10,3.074365204488337e-10,18.396371341956097,0.7,0.828,0.7,8.0,2.0
0.554,0.9751646460894603,88.91128322643596,3.733436676021123e-10,5.6042867058798e-10,1.8708500298586769e-10,19.508803862864745,0.7,0.828,0.7,8.0,2.0
0.555,0.9778756000191994,89.1070373143361,2.0566108441132553e-10,3.086780737096786e-10,1.0301698929835307e-10,20.93110354290299,0.7,0.828,0.7,8.0,2.0
0.556,0.9805926528380585,89.30338094189872,9.748210428898473e-11,1.462920145843262e-10,4.8809910295341474e-11,22.854163317276647,0.7,0.828,0.7,8.0,2.0
0.557,0.9833158320495188,89.50031699733071,3.591763476786661e-11,5.389462827671943e-11,1.797699350885282e-11,25.697738731369657,0.7,0.828,0.7,8.0,2.0
0.558,0.9860451653435255,89.69784838915189,7.928342478667122e-12,1.1894936805768784e-11,3.966594327101662e-12,30.674065544221058,0.7,0.828,0.7,8.0,2.0
0.559,0.9887806805981779,89.89597804610091,3.229719723500675e-13,4.844918986517194e-13,1.615199263016519e-13,44.58882043790387,0.7,0.828,0.7,8.0,2.0
0.56,0.9915224058814377,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.561,0.9942703694528574,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.562,0.9970245997653273,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5630000000000001,0.9997851254668443,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
